size,subject,layer,shape,mean_r,median_r,std_r,min_r,max_r,nan_count,inf_count,zero_ratio,positive_ratio,file
30B,4,23,"(10242,)",0.10365213740566277,0.11458116609011014,0.03465999389152422,-0.18450761796562387,0.17358815342097592,0,0,0.0,0.9674868189806678,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer23/base_subj4_corrlh.npy
30B,5,23,"(10242,)",0.08247650263430532,0.09270693869610154,0.04095567223672567,-0.17737387337470695,0.20493932778107918,0,0,0.0,0.9437609841827768,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer23/base_subj5_corrlh.npy
30B,6,23,"(10242,)",-0.04810661885464651,-0.05230164756965215,0.016439869332561724,-0.08472591662389435,0.08938926184693971,0,0,0.0,0.03485647334504979,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer23/base_subj6_corrlh.npy
30B,7,23,"(10242,)",0.04028916793473632,0.04267912895709322,0.013747460675852884,-0.09853278387435402,0.12685029738722306,0,0,0.0,0.9748096074985354,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer23/base_subj7_corrlh.npy
30B,8,23,"(10242,)",0.1322899767568511,0.14430657208394293,0.04495928348395719,-0.18390360430625396,0.22996564750369086,0,0,0.0,0.9629955086897091,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer23/base_subj8_corrlh.npy
30B,4,24,"(10242,)",0.04038525225155366,0.04451911618614411,0.02193879405619131,-0.12853566886171536,0.14022937201942973,0,0,0.0,0.9494239406365944,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer24/base_subj4_corrlh.npy
30B,5,24,"(10242,)",0.04781419507694891,0.05680122524949072,0.02714455568273628,-0.15797004214065521,0.13137594258951443,0,0,0.0,0.9267721148213239,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer24/base_subj5_corrlh.npy
30B,6,24,"(10242,)",0.0011599219136300186,0.0018840126465916318,0.009787137611501191,-0.10869037361399085,0.09775980824288712,0,0,0.0,0.7069908221050576,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer24/base_subj6_corrlh.npy
30B,7,24,"(10242,)",0.0022892822908993802,0.002422002208173633,0.0066579937424733745,-0.07511238000317708,0.07041568160523243,0,0,0.0,0.821128685803554,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer24/base_subj7_corrlh.npy
30B,8,24,"(10242,)",0.13267200586897712,0.14623347180470958,0.049254536845942734,-0.17160374100382816,0.20118826545532964,0,0,0.0,0.9586994727592267,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer24/base_subj8_corrlh.npy
30B,4,25,"(10242,)",0.10567488266148281,0.11466803280466298,0.03302859448497038,-0.1846469865359216,0.17013209340989874,0,0,0.0,0.9717828549111501,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer25/base_subj4_corrlh.npy
30B,5,25,"(10242,)",0.08629259774493057,0.10038411853750234,0.042228622752260296,-0.1819113296248691,0.15147892957991604,0,0,0.0,0.9353641866822886,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer25/base_subj5_corrlh.npy
30B,6,25,"(10242,)",-0.025702924501335038,-0.02635971430980389,0.011525489083033186,-0.11460395851003957,0.07923496366254291,0,0,0.0,0.028900605350517476,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer25/base_subj6_corrlh.npy
30B,7,25,"(10242,)",0.04513873118541786,0.047952696832858244,0.014070247299480969,-0.08688723930992154,0.1282928816126755,0,0,0.0,0.9753954305799648,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer25/base_subj7_corrlh.npy
30B,8,25,"(10242,)",0.1846017593237331,0.20366314471719743,0.07028626291759774,-0.22755627193066985,0.27763469010096853,0,0,0.0,0.9563561804335091,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer25/base_subj8_corrlh.npy
